trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.4863505475821122, 'e': 0.3501127617352208}",25,0,36.097541904490946,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.48513618979287143, 'e': 0.34576359115930777}",25,11,0.3430086903832483,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.4844574743388361, 'e': 0.3433516974975665}",20,10,9.34627781144815,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.4839732590125117, 'e': 0.34163922376206945}",25,0,-41.723670390658484,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
122,False,"{'a': 0.48276483702185513, 'e': 0.33739531316538157}",20,14,12.105654539419161,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.48247526499993576, 'e': 0.33638464398765383}",20,14,1.667206785299992,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.482185866669117, 'e': 0.3353770022739925}",20,0,-34.808614242430835,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.4812224586649189, 'e': 0.33203994534466064}",20,9,-74.04960560664267,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 1}",1
126,False,"{'a': 0.4806934049932532, 'e': 0.3302187385548933}",20,0,-4.026406717354214,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.4797329789294725, 'e': 0.3269330072071321}",25,8,1.0446239300481992,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.4789181256867925, 'e': 0.3241658537087894}",25,0,-11.945549485294109,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
129,False,"{'a': 0.4777223257453147, 'e': 0.3201390008009476}",25,10,-40.026296883179576,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
130,False,"{'a': 0.4770062794256952, 'e': 0.3177469397367071}",30,21,16.899092401722804,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.476577166903812, 'e': 0.3163202908752992}",20,7,-1.331175190120101,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.47595801912009306, 'e': 0.31427087679600785}",20,1,18.628311290537404,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.47505455744414843, 'e': 0.3112994401382165}",20,7,10.121142366081148,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.47443738776667943, 'e': 0.3092825557526799}",25,0,24.68645686915441,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.4732527756793573, 'e': 0.3054405861413579}",25,3,-30.383475766994458,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
136,False,"{'a': 0.47221276400517564, 'e': 0.3020991512782834}",25,8,-34.66936200571734,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
137,False,"{'a': 0.4714106842673116, 'e': 0.29954219096874685}",30,20,13.041719963174442,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
